client_id,date,target,temperature,humidity,sensacao_termica,region,ano,mes,dia,dia_da_semana,dia_do_ano,consumption_lag1,consumption_lag7,consumption_ma7
C0000,2023-01-02,16.63,27.090625,59.20625,28.14,Norte,2023,1,2,1,2,18.64,,17.634999999999998
C0000,2023-01-03,18.11,24.325,59.365625,24.325,Norte,2023,1,3,2,3,16.63,,17.793333333333333
C0000,2023-01-04,18.25,23.9875,57.340625,23.9875,Norte,2023,1,4,3,4,18.11,,17.9075
C0000,2023-01-05,19.81,25.2,59.921875,25.2,Norte,2023,1,5,4,5,18.25,,18.288
C0000,2023-01-06,15.87,24.896875,60.596875,24.896875,Norte,2023,1,6,5,6,19.81,,17.885
C0000,2023-01-07,20.3,22.60625,57.28125,22.60625,Norte,2023,1,7,6,7,15.87,,18.23
C0000,2023-01-08,19.35,24.936830357142856,60.884375,24.936830357142856,Norte,2023,1,8,0,8,20.3,18.64,18.33142857142857
C0000,2023-01-09,18.3,26.871875,61.2,28.0,Norte,2023,1,9,1,9,19.35,16.63,18.57
C0000,2023-01-10,13.34,24.846875,61.028125,24.846875,Norte,2023,1,10,2,10,18.3,18.11,17.88857142857143
C0000,2023-01-11,15.67,25.696875,60.621875,25.696875,Norte,2023,1,11,3,11,13.34,18.25,17.520000000000003
C0000,2023-01-12,19.08,24.98125,62.29375,24.98125,Norte,2023,1,12,4,12,15.67,19.81,17.415714285714287
C0000,2023-01-13,16.01,25.11875,59.765625,25.11875,Norte,2023,1,13,5,13,19.08,15.87,17.435714285714287
C0000,2023-01-14,13.25,23.496875,59.4,23.496875,Norte,2023,1,14,6,14,16.01,20.3,16.42857142857143
C0000,2023-01-15,16.61,25.3125,57.4,25.3125,Norte,2023,1,15,0,15,13.25,19.35,16.037142857142857
C0000,2023-01-16,16.64,25.946875,58.7,25.946875,Norte,2023,1,16,1,16,16.61,18.3,15.799999999999999
